serial,mac,model,location,label,note
"BE0115751","D8C7C8C98426","AP-105","M1-H3 - Phone Room",,"Test for Security office"
"BE0115742","D8C7C8C9841D","AP-105","Ready for use",,""
"BE0115745","D8C7C8C98420","AP-105","Ready for use",,""
"BE0115753","D8C7C8C98428","AP-105","Ready for use",,""
"BE0115726","D8C7C8C9840D","AP-105","Ready for use",,""
"BE0115743","D8C7C8C9841E","AP-105","Ready for use",,""
"BE0115756","D8C7C8C9842B","AP-105","","MFN-FAB-07",""
"BE0115754","D8C7C8C98429","AP-105","Ready for use",,""
"BE0115747","D8C7C8C98422","AP-105","Ready for use",,""
"BE0115752","D8C7C8C98427","AP-105","Ready for use",,""
"BE0115746","D8C7C8C98421","AP-105","Ready for use",,""
"BE0115744","D8C7C8C9841F","AP-105","Ready for use",,""
"BE0115755","D8C7C8C9842A","AP-105","Ready for use",,""
"BE0115737","D8C7C8C98418","AP-105","Ready for use",,""
"BE0115750","D8C7C8C98425","AP-105","Ready for use",,""
"BE0115761","D8C7C8C98430","AP-105","Ready for use",,""
"BE0115768","D8C7C8C98437","AP-105","Ready for use",,""
"BE0115736","D8C7C8C98417","AP-105","Ready for use",,""
"BE0115130","D8C7C8C981B9","AP-105","Ready for use",,""
"BE0115765","D8C7C8C98434","AP-105","Ready for use",,""
"SCT11082401396","D8C7C8C98412","AP-105","Ready for use","",""
"BE0115741","D8C7C8C9841C","AP-105","?",,""
"BE0115734","D8C7C8C98415","AP-105","M1-M9",,""
"BE0115703","D8C7C8C983F6","AP-105","M1-N3",,""
"BE0115683","D8C7C8C983E2","AP-105","M1-H3",,""
"BE0115719","D8C7C8C98406","AP-105","M1-D3",,""
"BE0115749","D8C7C8C98424","AP-105","L1-B8 Server Room","",""
"AL0212794","00246CCA9E9F","AP-105","","MFN-FAB-21","Y"
"AL0175151","00246CCA0B94","AP-105","","MFN-FAB-27","y"
"AL0211943","00246CCA9B4C","AP-105","","",""
"AL0175017","00246CCA0B0E","AP-105","","MFN-FAB-22","y"
"AL0212685","00246CCA9E32","AP-105","","",""
"AL0211920","00246CCA9B35","AP-105","","MFN-FAB-29","y"
"AL0175146","00246CCA0B8F","AP-105","","MFN-FAB-30","y"
"AL0212832","00246CCA9EC5","AP-105","","MFN-FAB-23","Y"
"AL0212837","00246CCA9ECA","AP-105","","MFN-FAB-24","Y"
"AL0175044","00246CCA0B29","AP-105","","",""
"AL0175082","AL0175082","AP-105","","MFN-FAB-02","y"
"AL0175053","AL0175053","AP-105","","MFN-FAB-25","y"
"AL0175152","00246CCA0B95","AP-105","","MFN-FAB-06","y"
"AL0211963","00246CCA9B60","AP-105","","",""
"AL0175125","00246CCA0B7A","AP-105","","MFN-FAB-26","y"
"BE0115731","D8C7C8C98412","AP-105","","MFN-FAB-28","Y"
"AL0211928","00246CCA9B3D","AP-105","","MFN-FAB-31","y"
